user_id,puntaje_sisben,puntaje_centrado,elegible,tratado,edad,genero,estrato,tam_hogar,num_menores,zona,nivel_educativo,cod_departamento,cod_municipio
USER_000001,0.04745071229516849,0.009450712295168494,0,0,20,2,1,6,1,1,2,73,73090
USER_000002,0.03792603548243223,-7.396451756776917e-05,1,1,70,1,1,6,1,2,4,68,68052
USER_000003,0.04971532807151039,0.011715328071510392,0,0,20,2,1,2,4,2,2,13,13004
USER_000004,0.06284544784612038,0.024845447846120382,0,0,44,2,1,7,1,1,2,25,25089
USER_000005,0.03648769937914996,-0.0015123006208500392,1,1,19,1,1,3,0,1,2,66,66033
USER_000006,0.03648794564576229,-0.0015120543542377074,1,1,20,2,1,2,0,1,4,47,47078
USER_000007,0.06368819223261087,0.025688192232610867,0,0,34,2,1,4,1,1,5,11,11071
USER_000008,0.05151152093729363,0.01351152093729363,0,0,63,2,1,5,3,1,4,11,11026
USER_000009,0.03295788421097572,-0.005042115789024276,1,1,56,1,1,5,1,1,4,11,11016
USER_000010,0.04813840065378947,0.010138400653789473,0,0,71,1,2,2,2,1,3,19,19051
USER_000011,0.03304873460781307,-0.004951265392186932,1,1,70,2,1,3,0,1,2,54,54012
USER_000012,0.033014053696446145,-0.004985946303553854,1,1,55,2,1,3,0,1,4,19,19095
USER_000013,0.043629434073490514,0.005629434073490515,0,0,57,2,1,7,1,1,2,73,73088
USER_000014,0.011300796330133034,-0.026699203669866965,1,1,36,2,1,3,1,1,1,68,68008
USER_000015,0.01412623251230451,-0.02387376748769549,1,1,36,1,1,6,2,1,3,52,52012
USER_000016,0.03156568706138541,-0.006434312938614586,1,1,61,2,2,4,1,2,3,5,5036
USER_000017,0.024807533194983643,-0.013192466805016356,1,1,22,1,1,5,0,1,4,11,11078
USER_000018,0.04471370998892911,0.0067137099889291105,0,0,22,2,3,8,0,2,3,66,66083
USER_000019,0.026379638867181834,-0.011620361132818165,1,1,31,2,2,3,1,2,4,11,11074
USER_000020,0.018815444479970626,-0.019184555520029373,1,1,44,2,2,5,2,2,4,68,68080
USER_000021,0.06198473153382331,0.023984731533823314,0,0,66,2,1,4,3,1,1,50,50075
USER_000022,0.03661335549270196,-0.0013866445072980363,1,1,65,2,1,3,2,1,4,52,52048
USER_000023,0.04101292307031886,0.0030129230703188625,0,0,53,2,2,4,1,2,4,11,11033
USER_000024,0.01862877720679815,-0.01937122279320185,1,1,74,2,1,5,1,1,4,50,50008
USER_000025,0.03183425913212226,-0.006165740867877738,1,1,57,2,1,5,4,1,4,68,68027
USER_000026,0.04166383884564799,0.0036638388456479917,0,1,52,2,2,8,0,1,2,19,19030
USER_000027,0.02273509633866546,-0.015264903661334539,1,1,38,2,3,8,1,2,2,5,5012
USER_000028,0.04563547027518508,0.007635470275185081,0,0,22,2,1,8,1,1,3,25,25092
USER_000029,0.030990419651217925,-0.007009580348782074,1,1,72,2,1,2,0,1,2,63,63013
USER_000030,0.03562459375310085,-0.0023754062468991505,1,0,41,2,1,5,1,2,3,19,19073
USER_000031,0.03097440081655905,-0.00702559918344095,1,1,74,2,1,4,3,1,3,11,11089
USER_000032,0.06778417276763407,0.029784172767634072,0,0,56,2,1,4,1,1,2,66,66025
USER_000033,0.03979754162893099,0.0017975416289309903,0,0,67,2,2,2,3,2,4,11,11044
USER_000034,0.024134336065661503,-0.013865663934338496,1,1,41,1,2,6,1,1,3,8,8080
USER_000035,0.052338173681547834,0.014338173681547835,0,0,57,2,3,5,1,1,4,73,73074
USER_000036,0.021687345250434666,-0.016312654749565333,1,1,60,1,1,3,0,1,1,25,25089
USER_000037,0.043132953925071334,0.005132953925071335,0,0,63,2,1,3,0,1,2,11,11006
USER_000038,0.010604948141803369,-0.02739505185819663,1,1,67,2,2,3,4,1,1,76,76040
USER_000039,0.020077209266523545,-0.017922790733476454,1,1,30,2,2,1,0,1,3,76,76059
USER_000040,0.04295291853803685,0.004952918538036852,0,0,55,1,2,4,3,1,2,66,66031
USER_000041,0.05107699869993116,0.013076998699931161,0,0,62,1,1,4,2,1,2,50,50001
USER_000042,0.042570524217849556,0.004570524217849557,0,0,18,2,3,5,1,2,4,52,52014
USER_000043,0.03826527576417639,0.00026527576417639115,0,0,60,1,1,3,1,1,4,63,63078
USER_000044,0.03548344456616067,-0.0025165554338393292,1,1,56,1,3,7,3,1,2,5,5078
USER_000045,0.01782217014448859,-0.02017782985551141,1,1,27,2,2,4,1,1,3,19,19047
USER_000046,0.02920233687407937,-0.008797663125920629,1,1,19,2,1,6,3,1,3,13,13096
USER_000047,0.03309041843560319,-0.00490958156439681,1,1,33,2,3,3,2,1,1,25,25055
USER_000048,0.055856833393283734,0.017856833393283734,0,0,54,2,1,4,2,1,5,11,11089
USER_000049,0.04515427434352692,0.007154274343526924,0,0,33,2,3,4,2,1,2,11,11016
USER_000050,0.013554397669558993,-0.024445602330441005,1,1,40,2,2,4,0,1,2,8,8052
USER_000051,0.044861259540921926,0.006861259540921927,0,0,43,2,2,2,1,1,3,11,11074
USER_000052,0.03422376579375525,-0.003776234206244747,1,1,33,1,1,1,0,1,3,52,52053
USER_000053,0.02984616999541062,-0.008153830004589378,1,1,44,2,1,4,2,1,2,25,25048
USER_000054,0.04917514433261302,0.011175144332613018,0,1,64,2,3,3,2,1,4,73,73014
USER_000055,0.05546499283743926,0.017464992837439262,0,0,58,2,1,2,0,1,4,11,11090
USER_000056,0.05396920178674298,0.01596920178674298,0,1,47,1,2,4,0,1,4,13,13041
USER_000057,0.027411737151660422,-0.010588262848339577,1,0,50,2,2,1,1,2,4,11,11096
USER_000058,0.035361814362231785,-0.0026381856377682145,1,1,49,2,2,3,2,1,3,8,8049
USER_000059,0.04496895147105346,0.006968951471053461,0,0,26,2,2,7,2,1,4,8,8051
USER_000060,0.05463317690683539,0.01663317690683539,0,0,28,2,1,3,2,1,5,54,54012
USER_000061,0.03281238643232065,-0.005187613567679349,1,1,54,2,1,3,4,1,2,76,76009
USER_000062,0.037215115350042745,-0.0007848846499572543,1,1,23,2,2,1,2,2,4,25,25082
USER_000063,0.02340497538990958,-0.01459502461009042,1,1,47,2,2,4,1,2,2,5,5066
USER_000064,0.02205690063878994,-0.01594309936121006,1,1,57,1,2,4,1,1,3,68,68005
USER_000065,0.05218788733591297,0.014187887335912974,0,0,32,2,1,6,1,1,3,8,8066
USER_000066,0.06034360042856234,0.022343600428562344,0,0,65,2,3,4,0,1,4,11,11086
USER_000067,0.03891984817629499,0.0009198481762949934,0,0,47,2,2,8,3,2,4,8,8002
USER_000068,0.055052993468380364,0.017052993468380365,0,0,35,2,1,2,0,1,4,8,8066
USER_000069,0.045424540375714514,0.007424540375714515,0,0,29,1,2,3,1,2,3,54,54089
USER_000070,0.030323203680923137,-0.007676796319076862,1,1,72,2,2,5,2,1,1,11,11021
USER_000071,0.04542093408262621,0.0074209340826262085,0,0,21,1,2,3,0,1,3,11,11028
USER_000072,0.06307054849698954,0.025070548496989538,0,0,74,1,2,3,0,1,2,19,19059
USER_000073,0.03946260941335073,0.0014626094133507322,0,0,71,2,1,4,2,1,3,11,11045
USER_000074,0.0634696548372101,0.025469654837210094,0,0,33,2,1,3,0,1,2,11,11076
USER_000075,0.0007038234386538368,-0.037296176561346164,1,1,40,2,1,2,0,1,2,11,11052
USER_000076,0.05232853756562836,0.014328537565628359,0,0,28,2,1,4,0,1,3,25,25045
USER_000077,0.04130570602357257,0.003305706023572573,0,1,71,1,1,6,0,1,4,11,11030
USER_000078,0.035514889743011986,-0.002485110256988013,1,1,41,1,1,3,2,1,3,54,54077
USER_000079,0.04137641164803253,0.003376411648032533,0,0,39,2,2,8,1,2,3,13,13089
USER_000080,0.01018646628098661,-0.02781353371901339,1,1,56,2,1,3,0,1,3,11,11068
USER_000081,0.03670492168243732,-0.0012950783175626757,1,1,73,1,2,7,0,1,2,68,68015
USER_000082,0.0453566885726762,0.007356688572676198,0,0,32,2,1,7,2,1,2,11,11032
USER_000083,0.06216841067112274,0.024168410671122742,0,0,66,2,1,5,2,1,4,68,68001
USER_000084,0.032225946725895294,-0.005774053274104705,1,1,32,2,1,6,2,1,2,66,66057
USER_000085,0.027872595956602186,-0.010127404043397813,1,1,27,1,2,3,1,1,3,54,54092
USER_000086,0.032473644346231956,-0.005526355653768043,1,1,45,2,1,7,1,1,4,11,11054
USER_000087,0.05373103176553111,0.01573103176553111,0,0,53,2,1,3,1,1,2,25,25022
USER_000088,0.04493126664489527,0.0069312666448952676,0,0,71,1,1,8,3,1,4,8,8031
USER_000089,0.03205359694349442,-0.005946403056505581,1,1,34,1,1,7,1,2,3,5,5095
USER_000090,0.04769901149670034,0.009699011496700341,0,0,53,1,2,7,1,2,4,11,11008
USER_000091,0.041456163240220605,0.0034561632402206055,0,1,39,2,2,3,0,1,3,25,25096
USER_000092,0.054529674857993336,0.016529674857993337,0,0,40,2,1,3,0,1,1,66,66092
USER_000093,0.029469203591839715,-0.008530796408160284,1,1,46,1,1,3,1,2,4,50,50077
USER_000094,0.03508506780103348,-0.002914932198966519,1,1,39,2,1,3,3,1,2,19,19063
USER_000095,0.034118377703017636,-0.0038816222969823636,1,1,28,2,2,7,1,1,3,19,19099
USER_000096,0.018047275778018224,-0.019952724221981775,1,1,53,2,1,3,1,2,1,76,76015
USER_000097,0.04444180415596864,0.006441804155968643,0,0,61,2,2,4,2,1,4,13,13077
USER_000098,0.04391582908269834,0.005915829082698339,0,0,46,2,2,5,1,1,2,11,11093
USER_000099,0.040076701849636916,0.0020767018496369166,0,0,72,1,1,5,0,1,2,13,13047
