user_id,period,year,month_num,saldo,trx_total,trx_envios,trx_recibidos,trx_retiros,trx_depositos,trx_compras,monto_total,monto_envios,monto_retiros,monto_compras,monto_depositos,cuenta_activa,diversificacion,puntaje_sisben,puntaje_centrado,elegible,tratado,edad,genero,estrato,tam_hogar,num_menores,zona,nivel_educativo,cod_departamento,cod_municipio
USER_004826,6,2020,10,36002.061449603316,3,0,0,1,0,0,46776.326138803095,0,50000,0,0,1,1,0.04361860372610094,0.005618603726100943,0,0,37,1,1,7,1,1,4,11,11021
USER_005180,6,2020,10,33026.49580395274,1,0,0,0,0,0,40191.25457625304,0,0,0,0,1,0,0.040235466939366374,0.002235466939366375,0,0,31,1,1,12,2,1,3,25,25019
USER_003162,6,2020,10,48614.382566918226,4,1,0,1,0,0,81038.66421382371,25000,50000,0,0,1,2,0.04683856292756054,0.008838562927560543,0,0,31,2,1,9,1,1,5,66,66017
USER_003847,6,2020,10,21367.38970282528,2,0,0,0,0,0,40473.33208575682,0,0,0,0,1,0,0.05636292505905547,0.01836292505905547,0,0,67,1,2,3,1,1,3,8,8037
USER_005445,6,2020,10,21242.27912263643,5,1,1,2,0,0,25202.385065790644,25000,100000,0,0,1,3,0.05133498758116472,0.01333498758116472,0,1,61,1,1,4,0,2,2,25,25055
USER_006933,6,2020,10,20641.2432612666,5,1,0,2,0,0,22652.435270847498,25000,100000,0,0,1,2,0.04371220821460157,0.005712208214601569,0,0,24,2,3,3,3,1,3,11,11097
USER_006461,6,2020,10,86643.33283218413,2,0,0,0,0,0,145729.04554837043,0,0,0,0,1,0,0.034288548942072936,-0.0037114510579270635,1,0,27,2,2,7,1,1,3,73,73010
USER_001384,6,2020,10,33100.94245977528,6,1,1,2,0,0,38534.37467728766,25000,100000,0,0,1,3,0.030914276154949925,-0.007085723845050074,1,1,41,1,2,5,2,1,3,11,11073
USER_008752,6,2020,10,108052.94467035441,3,0,0,1,0,0,157178.52115674363,0,50000,0,0,1,1,0.048108843127183616,0.010108843127183617,0,0,65,1,1,7,3,2,1,11,11003
USER_006302,6,2020,10,58245.7924174336,7,1,1,2,0,1,85539.92514799228,25000,100000,35000,0,1,4,0.018385275482126213,-0.019614724517873786,1,1,64,1,1,1,2,1,5,68,68013
USER_008826,6,2020,10,79189.47502522924,4,1,1,1,0,0,111709.1325661806,25000,50000,0,0,1,3,0.019507024934966234,-0.018492975065033765,1,1,18,1,1,5,1,1,3,11,11020
