user_id,period,year,month_num,saldo,trx_total,trx_envios,trx_recibidos,trx_retiros,trx_depositos,trx_compras,monto_total,monto_envios,monto_retiros,monto_compras,monto_depositos,cuenta_activa,diversificacion
USER_002753,1,2020,5,4175.820109583462,4,1,0,1,0,0,14968.022217465434,25000,50000,0,0,1,2
USER_006529,1,2020,5,44507.160120728855,6,1,0,2,0,0,74692.09852219131,25000,100000,0,0,1,2
USER_008262,1,2020,5,186043.6907112136,0,0,0,0,0,0,287554.1667793152,0,0,0,0,0,0
USER_007974,1,2020,5,138214.0373410506,11,2,2,4,1,1,212111.48810434653,50000,200000,35000,40000,1,5
USER_009233,1,2020,5,8082.330969335334,5,1,0,2,0,0,22739.35784608357,25000,100000,0,0,1,2
USER_005229,1,2020,5,62684.440988871575,4,1,0,1,0,0,92747.43583715691,25000,50000,0,0,1,2
USER_004276,1,2020,5,12388.263491712549,1,0,0,0,0,0,24780.079755843362,0,0,0,0,1,0
USER_003251,1,2020,5,11699.335327157336,4,1,0,1,0,0,17060.597985856966,25000,50000,0,0,1,2
USER_007773,1,2020,5,36586.80744742435,4,1,1,1,0,0,53239.995404752146,25000,50000,0,0,1,3
USER_009694,1,2020,5,65111.012525667276,9,2,1,3,0,1,102332.388145293,50000,150000,35000,0,1,4
USER_007117,1,2020,5,159113.32346286543,3,0,0,1,0,0,238196.85632656,0,50000,0,0,1,1
USER_005086,1,2020,5,7424.304443231656,8,2,0,3,0,1,3952.8710477354534,50000,150000,35000,0,1,3
USER_002005,1,2020,5,122773.72354943572,6,1,1,2,0,0,191162.28446398015,25000,100000,0,0,1,3
USER_003528,1,2020,5,12760.569626548293,4,1,0,1,0,0,15242.127526781533,25000,50000,0,0,1,2
USER_000060,1,2020,5,14475.491799116724,5,1,0,2,0,0,31744.42104577394,25000,100000,0,0,1,2
USER_005421,1,2020,5,8193.798192978362,3,0,0,1,0,0,5200.164575130805,0,50000,0,0,1,1
USER_003749,1,2020,5,8509.71090697367,3,0,0,1,0,0,6911.72110211773,0,50000,0,0,1,1
USER_007454,1,2020,5,36836.490540534964,5,1,0,2,0,0,74340.23606818324,25000,100000,0,0,1,2
USER_000645,1,2020,5,11273.261526049288,5,1,0,2,0,0,-480.51785437108265,25000,100000,0,0,1,2
USER_004604,1,2020,5,43964.57502771204,2,0,0,0,0,0,64957.350873732925,0,0,0,0,1,0
USER_008806,1,2020,5,56945.4510943055,5,1,1,2,0,0,95338.91486556859,25000,100000,0,0,1,3
USER_007935,1,2020,5,114463.76874998916,5,1,1,2,0,0,147665.9522882749,25000,100000,0,0,1,3
USER_002561,1,2020,5,24513.650863586994,4,1,1,1,0,0,41470.76180993106,25000,50000,0,0,1,3
USER_004724,1,2020,5,50263.39213247409,5,1,1,2,0,0,64740.965808999,25000,100000,0,0,1,3
USER_009490,1,2020,5,27857.340428404284,3,0,0,1,0,0,33995.49771714242,0,50000,0,0,1,1
USER_009354,1,2020,5,140752.4621759517,3,0,0,1,0,0,208251.35902713562,0,50000,0,0,1,1
USER_003178,1,2020,5,20133.60921525226,10,2,2,4,1,1,45298.59024731211,50000,200000,35000,40000,1,5
USER_004708,1,2020,5,18138.03073933629,5,1,1,2,0,0,44854.51917980911,25000,100000,0,0,1,3
USER_009252,1,2020,5,32534.371297684113,3,0,0,1,0,0,58590.45561315658,0,50000,0,0,1,1
USER_003624,1,2020,5,28836.111390681304,3,0,0,1,0,0,57817.58902461041,0,50000,0,0,1,1
USER_002722,1,2020,5,58275.02539793909,2,0,1,0,0,0,79811.29360835227,0,0,0,0,1,1
USER_009888,1,2020,5,14801.36824792503,2,0,0,0,0,0,24226.343349320057,0,0,0,0,1,0
USER_002051,1,2020,5,81354.41008356257,7,1,0,2,0,1,119799.94951308217,25000,100000,35000,0,1,3
USER_004173,1,2020,5,281839.1383037085,3,0,1,1,0,0,422185.34963606717,0,50000,0,0,1,2
USER_008323,1,2020,5,14362.474829602028,2,0,0,0,0,0,12953.926430163083,0,0,0,0,1,0
USER_008928,1,2020,5,47960.579931438915,5,1,1,2,0,0,91267.46715305731,25000,100000,0,0,1,3
USER_000673,1,2020,5,24114.74098759186,4,1,1,1,0,0,44343.65851114413,25000,50000,0,0,1,3
USER_009360,1,2020,5,125054.80259060477,6,1,0,2,0,0,177508.86685741504,25000,100000,0,0,1,2
USER_007279,1,2020,5,35499.17558658385,1,0,0,0,0,0,45997.165634060235,0,0,0,0,1,0
USER_004885,1,2020,5,36337.2915588443,5,1,0,2,0,0,53844.672860027335,25000,100000,0,0,1,2
USER_000306,1,2020,5,40897.80951612177,3,0,0,1,0,0,71019.78237446233,0,50000,0,0,1,1
USER_009392,1,2020,5,59814.414701828195,4,1,0,1,0,0,95781.11611986077,25000,50000,0,0,1,2
USER_008935,1,2020,5,7346.6709173925865,1,0,0,0,0,0,10214.698239663634,0,0,0,0,1,0
USER_006767,1,2020,5,5634.45602516946,2,0,0,0,0,0,21753.077984026473,0,0,0,0,1,0
USER_007886,1,2020,5,17572.151899468463,3,0,0,1,0,0,39210.66005924405,0,50000,0,0,1,1
USER_004920,1,2020,5,42767.4076003115,4,1,1,1,0,0,57578.821300591226,25000,50000,0,0,1,3
USER_009796,1,2020,5,21480.655506648716,2,0,0,0,0,0,6638.547456386128,0,0,0,0,1,0
USER_008413,1,2020,5,52530.53873841284,6,1,1,2,0,0,68643.2779497253,25000,100000,0,0,1,3
USER_002916,1,2020,5,16966.42582210119,3,0,0,1,0,0,44935.88178991916,0,50000,0,0,1,1
USER_004278,1,2020,5,35185.02877030645,7,1,1,2,0,1,52729.34889650607,25000,100000,35000,0,1,4
USER_004937,1,2020,5,15063.696234336234,3,0,0,1,0,0,39591.17891125126,0,50000,0,0,1,1
USER_008738,1,2020,5,30066.250981682606,6,1,1,2,0,0,45442.43708512874,25000,100000,0,0,1,3
USER_007083,1,2020,5,25734.260543140797,6,1,1,2,0,0,32708.84077343008,25000,100000,0,0,1,3
USER_000590,1,2020,5,39223.85475765138,7,1,1,2,0,1,59876.684740478064,25000,100000,35000,0,1,4
USER_001671,1,2020,5,81496.87326993127,3,0,1,1,0,0,124408.29126372653,0,50000,0,0,1,2
USER_008557,1,2020,5,71889.60730475927,6,1,1,2,0,0,86189.23077773237,25000,100000,0,0,1,3
USER_005144,1,2020,5,32576.20757996075,8,2,1,3,0,1,38607.83918979881,50000,150000,35000,0,1,4
USER_003644,1,2020,5,98700.00788143638,3,0,0,1,0,0,147860.0349702983,0,50000,0,0,1,1
USER_003154,1,2020,5,124261.23402247613,1,0,0,0,0,0,190218.8166195847,0,0,0,0,1,0
USER_006647,1,2020,5,75713.5406340021,3,0,0,1,0,0,100309.43449929496,0,50000,0,0,1,1
USER_008284,1,2020,5,46080.292078428625,5,1,1,2,0,0,81318.08606063775,25000,100000,0,0,1,3
USER_004168,1,2020,5,6346.33038495791,3,0,0,1,0,0,5685.408165873826,0,50000,0,0,1,1
USER_007328,1,2020,5,16361.557647079193,0,0,0,0,0,0,37101.91328176651,0,0,0,0,0,0
USER_007325,1,2020,5,12211.292276683726,2,0,0,0,0,0,31334.827367316822,0,0,0,0,1,0
USER_001378,1,2020,5,64154.54035451354,3,0,0,1,0,0,94052.65679712447,0,50000,0,0,1,1
USER_009201,1,2020,5,36632.40582210141,3,0,0,1,0,0,71452.11808560144,0,50000,0,0,1,1
USER_007174,1,2020,5,150470.81955481877,4,1,0,1,0,0,244501.93161419977,25000,50000,0,0,1,2
USER_000096,1,2020,5,50057.802522559155,9,2,1,3,0,1,88397.8802762153,50000,150000,35000,0,1,4
USER_008263,1,2020,5,17626.780382029858,4,1,0,1,0,0,18097.793891682682,25000,50000,0,0,1,2
USER_008407,1,2020,5,18060.56642396665,3,0,0,1,0,0,25913.434783453973,0,50000,0,0,1,1
USER_009066,1,2020,5,36075.48394284065,9,2,1,3,0,1,40109.51965904343,50000,150000,35000,0,1,4
USER_000100,1,2020,5,33051.33195571437,3,0,1,1,0,0,39463.56157413291,0,50000,0,0,1,2
